han,puj,simple_puj,freq,phrase,phrase_puj,phrase_simple_puj
㦙,ngà,nga3,,㦙,ngà,nga3
㧕,liú,liu2,,,,
㨨,liū,liu7,,㨨旗,liū-kî,liu7-ki5
㩼,tsōi,tsoi7,k00,,,
㪗,tháu,thau2,,㪗氣,tháu-khùi,thau2-khui3
㭳,hàu,hau3,,栳㭳,lãu-hàu,lau6-hau3
㴷,tâm,tam5,,㴷,tâm,tam5
㶩,tim,tim1,,,,
㼦,kóng,kong2,,,,
㽱,ká,ka2,,㽱痛,ká-thiàⁿ,ka2-thiann3
㾀,khiap,khiap4,,,,
㾪,sán,san2,,,,
㾪,sáng,sang2,k10,,,
㿗,thûe,thue5,,生㿗,seⁿ-thûe,senn1-thue5
䌜,nn̂g,nng5,,,,
䘃,pi̍t,pit8,,,,
䘼,ún,un2,k10,,,
䛩,à,a3,,相詏,sie-à,sie1-a3
䟓,tèng,teng3,,馬踏䟓,bé-ta̍h-tèng,be2-tah8-teng3
䨀,tia̍h,tiah8,,䨀米,tia̍h-bí,tiah8-bi2
䩍,liau,liau1,,面䩍䩍青,mīn-liau-liau-chheⁿ,min7-liau1-liau1-chhenn1
䭕,chiáⁿ,chiann2,,,,
䶕,bà,ba3,,䶕牙,bà-gê,ba3-ge5
一,che̍k,chek8,k00,,,
一,iau,iau1,k22,,,
一,it,it4,k10,,,
丁,cheng,cheng1,,,,
丁,teng,teng1,k00,,,
七,chhit,chhit4,k00,,,
丈,chiãng,chiang6,k11,,,
丈,ta,ta1,k22,,,
丈,tiẽⁿ,tienn6,k10,,,
丈,tñg,tng6,k12,,,
三,sam,sam1,k01,,,
三,san,san1,,,,
三,saⁿ,sann1,k00,,,
上,chhiẽⁿ,chhienn6,,,,
上,chiẽⁿ,chienn6,k01,,,
上,siâng,siang5,,,,
上,siãng,siang6,k00,,,
下,ẽ,e6,k00,,,
下,ē,e7,,,,
下,hẽ,he6,,,,
下,hiã,hia6,,,,
下,kẽ,ke6,,,,
不,m̃,m6,,,,
不,put,put4,,,,
丐,kài,kai3,,,,
