阮, Ún, 我們(不包含聽者), L0, 汕頭話讀本
咱|俺, Nán, 我們(包含聽者), L0, 汕頭話讀本
汝|爾, Lṳ́, 你, L0, 汕頭話讀本
恁, Nín, 你們, L0, 汕頭話讀本
伊, I, 他, L0, 汕頭話讀本
伊, I, 她, L0, 汕頭話讀本
伊, I, 它, L0, 汕頭話讀本
無, Bô, 沒有, L0, 汕頭話讀本
未, Būe, 沒, L0, 汕頭話讀本
勿, Màiⁿ, 不要, L0, 汕頭話讀本
不, M̃, 不, L0, 汕頭話讀本
此, Chí, 這, L0, 汕頭話讀本
彼, Hṳ́, 那, L0, 汕頭話讀本
在, Tõ, 在, L0, 汕頭話讀本
照, Chiè, 按, L0, 汕頭話讀本
轉, Tńg, 回, L0, 汕頭話讀本
共, Kāng, 和, L0, 汕頭話讀本
共, Kah, 和, L0, 汕頭話讀本
亦, Iā, 也, L0, 汕頭話讀本
從, Tshông, 從, L0, 汕頭話讀本
在, Tõ, 從, L0, 汕頭話讀本
豈, Khah, 太, L0, 汕頭話讀本
若是, Nāⁿ-sĩ, 如果, L0, 汕頭話讀本
亞是, A-sĩ, 或者是, L0, 汕頭話讀本
有亞無, Ũ a-bô, 有沒有, L0, 汕頭話讀本
袂, Bõi, 不會, L0, 汕頭話讀本
底個, Tî-kâi, 哪個, L0, 汕頭話讀本
請待, Chhiáⁿ-táⁿ, 稍等, L1, 汕頭話讀本
感謝, Kám-siā, 感謝, L0, 汕頭話讀本
寬寬, Khuaⁿ-khuaⁿ, 漸漸, L0, 汕頭話讀本
定着, Tiāⁿ-tiéh, 一定, L0, 汕頭話讀本
罕得, Hán–tit, 很少, L1, 汕頭話讀本, 咱此~有雪
免, Mín, 不用, L0, 汕頭話讀本
此樣生, Chièⁿ-seⁿ, 如此, L0, 汕頭話讀本
零些, Lân-ló, 一些, L1, 汕頭話讀本
底當時, Tiang-sî, 什麼時候, L0, 汕頭話讀本
底塊, Tî-kò, 哪裏, L0, 汕頭話讀本
底塊夥, Tî-kò húe, 哪裏人, L0, 汕頭話讀本
底儂, Tî-nâng, 哪個人, L0, 汕頭話讀本
底個, Tî-kâi, 哪個, L0, 汕頭話讀本
若㩼, Jiéh-tsōi, 多少, L0, 汕頭話讀本
約量, Iak-liãng, 大約, L1, 汕頭話讀本
依原, I-nguân, 依舊, L1, 汕頭話讀本
起頭, Khí-thâu, 開始, L0, 汕頭話讀本
知觀, Tsai-kuan, 當心, L1, 汕頭話讀本
賜福, Sṳ̀-hok, 祝福, L0, 汕頭話讀本
相借問, Sie-chieh-mn̄g, 打招呼, L0, 汕頭話讀本
親像, Chhin-chhiẽⁿ, 好像, L0, 汕頭話讀本
緣故, Uân-kù, 原因, L0, 汕頭話讀本
樣, Iēⁿ, 外觀, L0, 汕頭話讀本
目實, Mák-sít, 看頭, L0, 汕頭話讀本
分, Pun, 給, L0, 汕頭話讀本|考釋
乞, Khṳh|khoih, 給, L0, 汕頭話讀本|考釋
在, Tsãi, 很, L1, 汕頭話讀本, 重~
愈, Zú, 越, L0, 汕頭話讀本, ~好
愈好, Zú-hó, 更好, L0, 汕頭話讀本
