布疋, pou3-phit4, 布匹, k00, 汕頭話讀本
布路, pou3-lou7, 布匹, k00, 汕頭話讀本
呢|𦮴(U+26BB4), ninn5, 毛呢, k00, 汕頭話讀本
水呢|水𦮴(U+26BB4), tsui2-ninn5, 粗花呢, k10, 汕頭話讀本
絨, zong5, 絨, k00, 汕頭話讀本
熱布, zuah8-pou3, 夏布, k10, 汕頭話讀本
花布, hue1-pou3, 印花棉布, k00, 汕頭話讀本
皺紗, jiau3-se1, 縐布, k00, 汕頭話讀本
鏇, suan7, 鑽石, k20, 汕頭話讀本
紅銅, ang5-tang5, 黃銅, k10, 汕頭話讀本
火石, hue2-chieh8, 打火石, k00, 汕頭話讀本
鹽硝, iam2-siau1, 硝石, k00, 汕頭話讀本
硝, siau1, 硝石, k00, 汕頭話讀本
白礬|白𥐥, peh8-huan5, 明礬, k00, 汕頭話讀本
生礬|生𥐥, chhenn1-huan5, 綠礬, k00, 汕頭話讀本
鐵碎, thih4-tshui3, 鐵屑, k00, 汕頭話讀本
鐵棍, thih4-kun3, 鐵棒, k00, 汕頭話讀本
銅薄, tang5-poh8, 銅板, k00, 汕頭話讀本
錫薄, siah4-poh8, 錫箔, k00, 汕頭話讀本
紙花, tsua2-hue1, 假花, k00, 汕頭話讀本
荖枳, lau2-chi2, 檳榔, k10, 汕頭話讀本
荖葉, lau2-hieh8, 檳榔葉, k10, 汕頭話讀本
甘蜜, kam1-bit8, 檳榔膏, k10, 汕頭話讀本
樟栳, chienn1-lo2, 樟腦, k00, 汕頭話讀本
樟柴, chienn1-tsha5, 樟腦, k00, 汕頭話讀本
桂皮, kui3-phue5, 肉桂, k00, 汕頭話讀本
物食, mueh8-chiah8, 蜜餞, k00, 汕頭話讀本
仙瑚, sien1-hu5, 珊瑚, k00, 汕頭話讀本
珊瑚, san1-hu5, 珊瑚, k00, 汕頭話讀本
𦈢, hui5, 瓷, k00, 汕頭話讀本
碰鰾, phong3-phie6, 爆竹, k10, 汕頭話讀本
色料, sek4-liau7, 染料, k00, 汕頭話讀本
雞毛筅, koi1-mo5-tshoinn2, 雞毛撣子, k00, 汕頭話讀本
樹泥, chhiu7-ninn5, 橡膠, k00, 汕頭話讀本
蠔珠, o5-tsu1, 珍珠, k00, 汕頭話讀本
蠔殼鏡, o5-khak4-kiann3, 珍珠母, k00, 汕頭話讀本
枋, pang1, 木板, k00, 汕頭話讀本
鎏金器, liu7-kim1-khi3, 鑲金器, k00, 汕頭話讀本
火?, hue2-suh8, 火箭, k10, 汕頭話讀本
香柴, hionn1-tsha5, 檀香木, k10, 汕頭話讀本
燕菜, ien3-tshai3, 海藻, k10, 汕頭話讀本
魚翼, hur5-sit8, 魚翅, k00, 汕頭話讀本
紙煤, tsua2-bue5, 紙捻, k00, 汕頭話讀本
赤糖, chhiah4-thng5, 紅糖, k00, 汕頭話讀本
烏糖, ou1-thng5, 黑糖, k00, 汕頭話讀本
大柴, tua7-tsha5, 原木, k00, 汕頭話讀本
數簿, siau3-phou6, 賬本, k10, 汕頭話讀本
總簿, tsong2-phou6, 總賬, k10, 汕頭話讀本
來往, lai5-uang2, 分類賬, k20, 汕頭話讀本
歸原, kui1-nguan5, 庫存分類賬, k20, 汕頭話讀本
日清, jit8-chheng1, 日記本, k20, 汕頭話讀本
算數, sng2-siau3, 算賬, k00, 汕頭話讀本
收數, siu1-siau3, 收賬, k00, 汕頭話讀本
來銀, lai2-ngurn5, 收款, k10, 汕頭話讀本
記數, ki3-siau3, 入賬, k00, 汕頭話讀本
上數, chienn6-siau3, 入賬, k00, 汕頭話讀本
盤數, puann5-siau3, 轉賬, k20, 汕頭話讀本
開單, khui1-tuann1, 開賬, k00, 汕頭話讀本
收單, siu1-tuann1, 收據, k10, 汕頭話讀本
面會, min7-hue6, 會面, k00, 汕頭話讀本
計共, koi3-kang7, 總計, k00, 汕頭話讀本
算摩, sng3-bua5, 加, k10, 汕頭話讀本
除, tur5, 減, k00, 汕頭話讀本
乘, sen5, 乘, k00, 汕頭話讀本
分, pun1, 除, k00, 汕頭話讀本
掌櫃, chiang2-kuinn7, 收銀員, k20, 汕頭話讀本
財副, tshai5-hu3, 會計, k20, 汕頭話讀本
大財副, tua7-tshai2-hu3, 首席會計, k20, 汕頭話讀本
好趁, ho2-than3, 好賺, k00, 汕頭話讀本
紙字, tsua2-ji7, 鈔票, k00, 汕頭話讀本
倒賬, to2-tienn3, 倒閉, k00, 汕頭話讀本
本錢, png2-chinn5, 本金, k00, 汕頭話讀本
現錢, hien7-chinn5, 現金, k00, 汕頭話讀本
倒錢, tau2-chinn5, 找錢, k00, 汕頭話讀本
抽分, thiu1-hun3, 佣金, k10, 汕頭話讀本
賒, chhia1, 貸, k00, 汕頭話讀本
債主, che3-tsu2, 債權人, k00, 汕頭話讀本
抽減, thiu1-kiam2, 折扣, k00, 汕頭話讀本
銀單, ngurn5-tuann1, 匯票, k10, 汕頭話讀本
對單, tui3-tuann1, 匯票, k10, 汕頭話讀本
催迫, tshui1-pek4, 催討, k00, 汕頭話讀本
定銀, tiann7-ngurn5, 定金, k10, 汕頭話讀本
使(錢), sai2, 花(錢), k00, 汕頭話讀本
所費, so2-hui3, 花費, k00, 汕頭話讀本
保家, po2-ke1, 保險, k20, 汕頭話讀本
保家字, po2-ke1-ji7, 保險單, k20, 汕頭話讀本
保家館, po2-ke1-kuan2, 保險公司, k20, 汕頭話讀本
利錢, lai7-chinn5, 利益, k00, 汕頭話讀本
落本, loh8-png2, 投資, k00, 汕頭話讀本
蝕本, sih8-png2, 虧本, k00, 汕頭話讀本
