teochew_puj_flat,teochew_puj,teochew,mandarin,en
a ai5,a-âi,阿姨,媽媽,
a ai5,a-âi,阿𡟓,媽媽,
a bo2,a-bó,阿母,阿母,
a bo5,a-bô,亞無,或者沒有,
a che2,a-ché,阿姊,阿姊,
a chek,a-chek,阿叔,阿叔,
a hiann,a-hiaⁿ,阿兄,阿兄,
a i5,a-î,阿姨,阿姨,
a ia5,a-iâ,阿爺,,
a ia5 a sia3,a-iâ-a-sià,阿爺阿舍,,
a kim6,a-kĩm,阿妗,舅母,
a kong,a-kong,阿公,爺爺,
a kou,a-kou,阿姑,阿姑,
a ku6,a-kũ,阿舅,阿舅,
a m2,a-ḿ,阿姆,阿姆,
a ma2,a-má,阿媽,奶奶,
a mann2,a-máⁿ,阿媽,外婆,
a muenn7,a-mūeⁿ,阿妹,阿妹,
a nainn2,a-náiⁿ,阿奶,阿奶,
a nenn,a-neⁿ,阿妮,阿妮,
a ni,a-ni,阿嬭,奶媽(面稱),
a ni,a-ni,阿㜷,奶媽(面稱),
a nienn5,a-niêⁿ,阿娘,夫人,
a nienn5 kiann2,a-niêⁿ-kiáⁿ,阿娘囝,小姐,
a nng5,a-nn̂g,阿郞,阿郞,
a nounn,a-nouⁿ,阿奴,阿奴,
a nounn5,a-nôuⁿ,阿孥,孩兒,
a pa,a-pa,阿爸,阿爸,
a pe6,a-pẽ,阿父,阿父,
a peh,a-peh,阿伯,阿伯,
a pek lah8 han2,a-pek-la̍h-hán,亞伯拉罕,,
a si6,a-sĩ,亞是,或者是,
a sia3,a-sià,阿舍,富少;官少,
a sim2,a-sím,阿嬸,阿嬸,
a so2,a-só,阿嫂,阿嫂,
a ti6,a-tĩ,阿弟,阿弟,
a tia,a-tia,阿爹,阿爹,
a tienn6,a-tiẽⁿ,阿丈,阿丈,
a tsong2,a-tsóng,阿總,阿總,
a tuann3,a-tuàⁿ,阿旦,阿旦,
a2 chih8,á-chi̍h,拗折,,
a2 chih8,á-chi̍h,掗折,折斷,
a2 uan,á-uan,拗彎,折彎,
a3,à,䛩,爭辯,
a3,à,詏,爭辯,
ah nih,ah-nih,鴨攝,攝子,
ai ta2,ai-tá,挨打,,
ai7 a7,āi--ā,哀啊,唉呀,
ainn3 chiah8,àiⁿ chia̍h,欲食,,
ainn3 su3,àiⁿ-sù,欲訴,要起訴,
ainn3 tho3 tng5 lo7,àiⁿ-thò-tn̂g--lō,欲退堂了,要退堂了,
ainn3 thou3,àiⁿ-thòu,欲吐,要吐,
ainn3 tsur penn7,àiⁿ-tsṳ-pēⁿ,艾滋病,,
ainn5 boi7 kai5,âiⁿ-bōi--kâi,欲賣嘅,要賣的,
ak tieh8 hou6,ak-tie̍h-hõu,沃着雨,淋到雨,
ak tsui2,ak-tsúi,沃水,澆水,
ak ut,ak-ut,抑鬱,,
am2,ám,飲,米湯,
am3 chenn6,àm-chẽⁿ,暗靜,靜靜,
am3 chenn6 tann3,àm-chẽⁿ-tàⁿ,暗靜呾,偷偷地說,
am3 ho7,àm-hō,暗號,暗號,
am6,ãm,頷,頸,
am6 muann,ãm-muaⁿ,頷幔,圍巾,
am6 niann2,ãm-niáⁿ,頷領,衣領,
am6 phuan5,ãm-phuân,頷幋,圍巾,
an kenn,an-keⁿ,安更,一更,
an pou7 tng3 chhia,an-pōu-tǹg-chhia,安步當車,,
an3 tshat,àn-tshat,按察,按察,
ang chia2,ang-chiá,翁姐,,
ang chia2,ang-chiá,翁姐,夫妻,
ang chia2 kiann2,ang-chiá-kiáⁿ,翁姐囝,小兩口,
ang kiann2,ang-kiáⁿ,尪囝,圖畫,
ang tsang,ang-tsang,骯髒,,
ang tshun,ang-tshun,鵪鶉,鵪鶉,
ang3 jien5,àng-jiên,盎然,,
ang5 hue nng2,âng-hue-nńg,紅花女,紅花女,
ang5 ieh8,âng-ie̍h,紅藥,止痛藥,
ang5 sim,âng-sim,紅心,紅心,
ang5 tang5,âng-tâng,紅銅,黃銅,
ang5 thau5 tsun5,âng-thâu-tsûn,紅頭船,帆船,
ang5 tsng,âng-tsng,紅磚,紅磚,
ang5 tso5,âng-tsô,紅鰽,紅鰽,
ap siou3,ap-siòu,押數,結賬,
ap un7,ap-ūn,押韻,,
au2 ueh,áu-ueh,嘔穢,嘔吐,
au2 ueh,áu-ueh,嘔噦,嘔吐,
au3 nang5,àu-nâng,爛儂,爛人,
au3 nang5,àu-nâng,爛人,爛人,
au5 leng3,âu-lèng,喉嚨,喉嚨,
au6 i6,ãu-ĩ,後裔,後裔,
au6 jit8,ãu--ji̍t,後日,後天,
au6 pe6,ãu-pẽ,後父,繼父,
au6 piah,ãu-piah,後壁,,
ba bun chhie3,ba-bun-chhiè,貓呅笑,貓呅笑,
ba3 ge5,bà-gê,䶕牙,齙牙,
ba7 kiann2,bā-kiáⁿ,峇囝,鱷魚,
ba7 li5,bā-lî,峇厘,船艙,
bak8 inn3,ba̍k-ìⁿ,墨硯,墨硯,
bak8 li6,ba̍k-lĩ,茉莉,茉莉,
bak8 pan2,ba̍k-pán,木板,,
bak8 sat,ba̍k-sat,木虱,臭蟲,
bak8 tau2,ba̍k-táu,墨斗,烏賊,
bak8 tsui2,ba̍k-tsúi,墨水,墨水,
bak8 tsui2 kuan3,ba̍k-tsúi-kuàn,墨水罐,墨水罐,
bak8 zur2,ba̍k-zṳ́,木耳,木耳,
be2 chhia,bé-chhia,馬車,馬車,
be2 chi2,bé-chí,碼子,碼子,
be2 ka,bé-ka,馬鮫,馬鮫,
be2 kiann2,bé-kiáⁿ,碼囝,碼子,
be2 leng5 khia5,bé-lêng-khiâ,馬龍騎,馬龍騎,
be2 pang5,bé-pâng,馬房,馬廄,
be2 piann,bé-piaⁿ,馬兵,兵馬,
be2 pinn,bé-piⁿ,馬鞭,,
be2 pinn,bé-piⁿ,馬鞭,馬鞭,
be2 soh,bé-soh,馬索,韁繩,
be2 tah8 teng3,bé-ta̍h-tèng,馬踏䟓,馬鐙,
be2 thau5,bé-thâu,碼頭,碼頭,
be2 thau5,bé-thâu,馬頭,馬頭,
be2 uann,bé-uaⁿ,馬鞍,馬鞍,
beh8 hun2 kue2,be̍h-hún-kúe,麥粉粿,麥粉粿,
beh8 phou,be̍h-phou,麥麩,,
bi2 lo5,bí-lô,米籮,米籮,
