phrase,phrase_puj,phrase_simple_puj,freq,mandarin,english,source,tag
㦙,ngà,nga3,k00,蠢,stupid,汕頭話讀本,健康
㨨旗,liū-kî,liu7-ki5,k10,升旗,to hoist a flag,汕頭話讀本,
㩼,tsōi,tsoi7,k00,多,many,汕頭話讀本,入門
㪗,tháu,thau2,k00,解,untie|undo,汕頭話讀本,人|行動
㪗氣,tháu-khùi,thau2-khui3,k10,透氣,breathe|sigh,汕頭話讀本,
㴷,tâm,tam5,k00,濕,wet,汕頭話讀本,入門
㽱痛,ká-thiàⁿ,ka2-thiann3,k00,絞痛,,考釋,健康
㾪,sán,san2,k00,瘦,thin,汕頭話讀本,人|品評
㾪骨落肉,sán-kut-la̍k-ne̍k,san2-kut4-lak8-nek8,k00,瘦骨嶙峋,,考釋,健康
㿗,thûe,thue5,k00,瘡,,汕頭話讀本,健康
䘼,ńg,ng2,k00,袖子,,汕頭話讀本,打扮
䛩,à,a3,k00,爭辯,,汕頭話讀本,人|行動
䨀米,tia̍h-bí,tiah8-bi2,k10,買米,buy as rice,汕頭話讀本,
䭕,chiáⁿ,chiann2,k00,(味)淡,fresh as water|insipid or tasteless,考釋,飲食
䶕(U+4D95)牙,bà-gê,ba3-ge5,k10,齙牙,,考釋,人|品評
一㮣,che̍k-khài,chek8-khai3,k10,一概,altogether,汕頭話讀本,
一儎,che̍k-tsāi,chek8-tsai7,k10,一儎,a load,汕頭話讀本,
一分鐘,che̍k-hun-cheng,chek8-hun1-cheng1,k10,一分鐘,minute,汕頭話讀本,
一刻鐘,che̍k-khek-cheng,chek8-khek4-cheng1,k10,一刻鐘,quarter,汕頭話讀本,
一副,che̍k-hù,chek8-hu3,k10,一副,set,汕頭話讀本,
一堆,che̍k-tun,chek8-tun1,k10,一堆,heap,汕頭話讀本,
一好,it-hó,it4-ho2,k10,第一好,best,汕頭話讀本,
一對,che̍k-tùi,chek8-tui3,k10,一對,couple|pair,汕頭話讀本,
一尾,che̍k-búe,chek8-bue2,k00,一條,,汕頭話讀本,
一尾魚,che̍k-búe hṳ̂,chek8-bue2 hur5,k00,一條魚,,汕頭話讀本,計數
一帖,che̍k-thiap,chek8-thiap4,k10,一帖,"a dose, (as of chinese medicine.)",汕頭話讀本,
一弓,che̍k-siū,chek8-siu7,k10,一弓,bunch as plantain,汕頭話讀本,
一把,che̍k-pé,chek8-pe2,k10,一把,bunch,汕頭話讀本,
一把花,che̍k-pé-hue,chek8-pe2-hue1,k10,一把花,bouquet,汕頭話讀本,
一收,che̍k-siu,chek8-siu1,k10,一收,bunch part of a,汕頭話讀本,
一枝,che̍k-ki,chek8-ki1,k10,一枝,a roll of cloth,汕頭話讀本,
一條,che̍k-tiâu,chek8-tiau5,k10,一條,item,汕頭話讀本,
一疋,che̍k-phit,chek8-phit4,k10,一匹,a piece of cloth,汕頭話讀本,
一雙,che̍k-sang,chek8-sang1,k10,一雙,pair,汕頭話讀本,
一頃囝,che̍k-khùn-kiáⁿ,chek8-khun3-kiann2,k10,一會兒,moment,汕頭話讀本,
一點,che̍k-tiám,chek8-tiam2,k10,一點,bit|drop,汕頭話讀本,
丁香,teng-hieⁿ,teng1-hienn1,k10,丁香,cloves,汕頭話讀本,
丈人,tiẽⁿ-nâng,tienn6-nang5,k00,岳父,,考釋,
丈儂,tiẽⁿ-nâng,tienn6-nang5,k00,岳父,husband's fatherinlaw,考釋,人|稱呼
丈地,chiãng-tī,chiang6-ti7,k10,丈地,survey,汕頭話讀本,
丈夫,ta-pou,ta1-pou1,k00,男人,male.(only used of man.),汕頭話讀本,人|稱呼
丈夫囝,ta-pou-kiáⁿ,ta1-pou1-kiann2,k00,男孩,,考釋,人|稱呼
丈姆,tiẽⁿ-ḿ,tienn6-m2,k00,岳母,,考釋,人|稱呼
丈姆婆,tiẽⁿ-ḿ-phuâ,tienn6-m2-phua5,k00,丈母娘,husband's motherinlaw,考釋,人|稱呼
丈母,tiẽⁿ-ḿ,tienn6-m2,k00,岳母,,考釋,
丈母婆,tiẽⁿ-ḿ-phuâ,tienn6-m2-phua5,k00,丈母娘,,考釋,
三更,saⁿ-keⁿ,sann1-kenn1,k10,三更,third watch from 11 to 1 a.m,汕頭話讀本,
三更半暝,saⁿ-keⁿ puàⁿ-mê,sann1-kenn1 puann3-me5,k00,三更半夜,,汕頭話讀本,時日
三月,saⁿ-gu̍eh,sann1-gueh8,k10,三月,third moon,汕頭話讀本,
三牲,saⁿ-seⁿ,sann1-senn1,k10,三牲,the three kinds of offerings,汕頭話讀本,
三角,saⁿ-kak,sann1-kak4,k10,三角,a triangle,汕頭話讀本,
三里,saⁿ-lí,sann1-li2,k10,三里,mile a,汕頭話讀本,
上大,siãng-tuā,siang6-tua7,k10,最大,eldest,汕頭話讀本,
上好,siãng-hó,siang6-ho2,k00,最好,best,汕頭話讀本,入門
上帝,siãng-tì,siang6-ti3,k10,上帝,god,汕頭話讀本,
上數,chiẽⁿ-siàu,chienn6-siau3,k10,入賬,to enter in account,汕頭話讀本,職業|經商
上旰,chiẽⁿ-kuà,chienn6-kua3,k10,上午,forenoon,汕頭話讀本,時日
上目,chiẽⁿ-ma̍k,chienn6-mak8,k10,瞄準,aim,汕頭話讀本,
下,kẽ,ke6,k00,低,low,汕頭話讀本,入門
下下,ē-ē,e7-e7,k10,次次,often|every occasion,汕頭話讀本,
