㨨旗, liu7-ki5, 升旗, k10, 汕頭話讀本
㪗氣, thau2-khui3, 透氣, k10, 汕頭話讀本
䨀米, tiah8-bi2, 買米, k10, 汕頭話讀本
一㮣, chek8-khai3, 一概, k10, 汕頭話讀本
一儎, chek8-tsai7, 一儎, k10, 汕頭話讀本
一分鐘, chek8-hun1-cheng1, 一分鐘, k10, 汕頭話讀本
一刻鐘, chek8-khek4-cheng1, 一刻鐘, k10, 汕頭話讀本
一副, chek8-hu3, 一副, k10, 汕頭話讀本
一堆, chek8-tun1, 一堆, k10, 汕頭話讀本
一好, it4-ho2, 第一好, k10, 汕頭話讀本
一對, chek8-tui3, 一對, k10, 汕頭話讀本
一尾, chek8-bue2, 一條, k00, 汕頭話讀本
一帖, chek8-thiap4, 一帖, k10, 汕頭話讀本
一弓, chek8-siu7, 一弓, k10, 汕頭話讀本
一把, chek8-pe2, 一把, k10, 汕頭話讀本
一把花, chek8-pe2-hue1, 一把花, k10, 汕頭話讀本
一收, chek8-siu1, 一收, k10, 汕頭話讀本
一枝, chek8-ki1, 一枝, k10, 汕頭話讀本
一條, chek4-tiou5, 一條, k10, 汕頭話讀本
一疋, chek8-phit4, 一匹, k10, 汕頭話讀本
一雙, chek8-sang1, 一雙, k10, 汕頭話讀本
一頃囝, chek8-khun3-kiann2, 一會兒, k10, 汕頭話讀本
一點, chek8-tiam2, 一點, k10, 汕頭話讀本
丁香, teng1-hienn1, 丁香, k10, 汕頭話讀本
丈儂, tienn6-nang5, 丈人, k10, 汕頭話讀本
丈地, chiang7-ti7, 丈地, k10, 汕頭話讀本
丈夫, ta1-pou1, 男人, k00, 汕頭話讀本
丈姆婆, tienn6-m2-phua5, 丈母娘, k10, 汕頭話讀本
三更, sann1-kenn1, 三更, k10, 汕頭話讀本
三更半夜|三更半暝, sann1-kenn1 puann3-menn5, 三更半夜, k00, 汕頭話讀本
三月, sann1-gueh8, 三月, k10, 汕頭話讀本
三牲, sann1-senn1, 三牲, k10, 汕頭話讀本
三角, sann1-kak4, 三角, k10, 汕頭話讀本
三里, sann1-li2, 三里, k10, 汕頭話讀本
上午, chienn7-kua3, 上午, k10, 汕頭話讀本
上大, siang6-tua7, 最大, k10, 汕頭話讀本
上好, siang6-ho2, 最好, k00, 汕頭話讀本
上帝, siang6-ti3, 上帝, k10, 汕頭話讀本
上數, chienn6-siou3, 入賬, k10, 汕頭話讀本
上旰, chienn7-kua3, 上午, k10, 汕頭話讀本
上旰, e6-kua3, 下午, k00, 汕頭話讀本
上目, chienn6-mak8, 瞄準, k10, 汕頭話讀本
下下, e7-e7, 次次, k10, 汕頭話讀本
下品, ke6-pin2, 下品, k10, 汕頭話讀本
下日, e6-jit8, 他日, k00, 汕頭話讀本
下旰, e6-kua3, 下午, k10, 汕頭話讀本
下次, e6-tsua7, 下次, k00, 汕頭話讀本
下水, e6-tsui2, 下水, k10, 汕頭話讀本
下貨, he6-hue3, 下貨, k10, 汕頭話讀本
下頦, e6-hai5, 下巴, k00, 汕頭話讀本
不好, m6-monn2, 不好, k10, 汕頭話讀本
不好錢, m6-monn2-chinn5, 臟錢, k10, 汕頭話讀本
不孝, put4-hau3, 不孝, k10, 汕頭話讀本
不止, put4-chi2, 不止, k10, 汕頭話讀本
不能, put4-leng5, 不能, k10, 汕頭話讀本
不論, put4-lun6, 不論, k10, 汕頭話讀本
不過, put4-kue3, 不過, k10, 汕頭話讀本
世間, si3-kan1, 世界, k00, 汕頭話讀本
中今, tong1-kim1, 現在, k10, 汕頭話讀本
中保, tong1-po2, 中介, k10, 汕頭話讀本
中午, tong1-ngou2, 中午, k10, 汕頭話讀本
中國, tong1-kok4, 中國, k10, 汕頭話讀本
中心, tong1-sim1, 中心, k10, 汕頭話讀本
中舉人, teng3-kur1-jin5, 中舉人, k10, 汕頭話讀本
中辦, tong1-pan7, 中辦, k10, 汕頭話讀本
主意, tsu2-i3, 主意, k10, 汕頭話讀本
久久, ku2-ku2, 久久, k10, 汕頭話讀本
乞食, khurt4-chiah8, 乞丐, k00, 汕頭話讀本
乳母, zu2-bo2, 乳母, k10, 汕頭話讀本
亂呾, theng3-tann3, 亂說, k10, 汕頭話讀本
事㩼, sur7-tsoi7, 事多, k10, 汕頭話讀本
事務, sur7-bu6, 事務, k10, 汕頭話讀本
事業, sur7-ngiap8, 事業, k10, 汕頭話讀本
事理, sur6-li2, 料理, k10, 汕頭話讀本
二伙, ji7-hue2, 二副, k20, 汕頭話讀本
二儂, ji7-nang5, 二奶, k10, 汕頭話讀本
二家, ji7-ke1, 兩人, k10, 汕頭話讀本
二手, ji7-chhiu2, 助理, k20, 汕頭話讀本
二斤半, nonn6-kurn1-puann3, 二斤半, k10, 汕頭話讀本
二更, ji7-kenn1, 二更, k10, 汕頭話讀本
二月, ji7--gueh8, 二月, k10, 汕頭話讀本
五更, ngou6-kenn1, 五更, k10, 汕頭話讀本
五穀, ngou6-kak4, 五穀, k10, 汕頭話讀本
五經, ngou2-kiann1, 五經, k10, 汕頭話讀本
些須囝, se1-su1-kiann2, 一點兒, k10, 汕頭話讀本
亞是, a1-si6, 或者是, k00, 汕頭話讀本
亞無, a1-bo5, 或者沒有, k10, 汕頭話讀本
交戰, kau1-chien3, 交戰, k10, 汕頭話讀本
交掛, kau1-kua3, 交易, k00, 汕頭話讀本
交插, kau1-tshap4, 交往, k10, 汕頭話讀本
交椅, kau1-inn2, 靠背椅, k00, 汕頭話讀本
交落, ka1-lauh8, 掉落, k00, 汕頭話讀本
交關, kau1-kuan1, 買, k10, 汕頭話讀本
交關的儂, kau1-kuan1--kai5-nang5, 顧客, k10, 汕頭話讀本
京城, kiann1-siann5, 京城, k10, 汕頭話讀本
人參, jin5-siam1, 人參, k10, 汕頭話讀本
什物, tsap8-mueh8, 什物, k10, 汕頭話讀本
什貨, tsap8-hue3, 什貨, k10, 汕頭話讀本
仁慈, jin5-tshur5, 仁慈, k10, 汕頭話讀本
仇儂, chhiu5-nang5, 仇人, k10, 汕頭話讀本
今夜|今暝, ke1-menn5, 今夜, k00, 汕頭話讀本
今旦日, kiann2-jit8, 今天, k00, 汕頭話讀本
仔細, tsur2-soi3, 仔細, k10, 汕頭話讀本
付托, hu3-thoh4, 委託, k00, 汕頭話讀本
仙瑚, sien1-hu5, 珊瑚, k00, 汕頭話讀本
任意, jim6-i3, 任意, k10, 汕頭話讀本
仿似, huang2-sur6, 仿似, k10, 汕頭話讀本
伍星, ngou2-chhenn1, 行星, k10, 汕頭話讀本
伍牲, ngou2-senn1, 伍牲, k10, 汕頭話讀本
伙長, hue2-tienn2, 船長, k20, 汕頭話讀本
伙食房, hue2-sit8-pang5, 廚房, k20, 汕頭話讀本
估値, kou2-tat8, 估値, k10, 汕頭話讀本
估價, kou2-ke3, 估價, k10, 汕頭話讀本
伶俐, leng5-lai7, 伶俐, k10, 汕頭話讀本
佔過, chiam3-kue3, 侵佔, k10, 汕頭話讀本
佚佗, thit4-tho5, 遊玩, k10, 汕頭話讀本
佚佗物, thit4-tho5-mueh8, 玩物, k10, 汕頭話讀本
佛家, hut8-ka3, 佛家, k10, 汕頭話讀本
佛祖, hut8-tsou2, 佛祖, k10, 汕頭話讀本
作工, tsoh4-kang1, 工作, k00, 汕頭話讀本
作工課, tsoh4-khang1-khue3, 工作, k10, 汕頭話讀本
作灰工, tsoh4-hue1-kang1, 做灰工, k10, 汕頭話讀本
作田儂, tsoh4-tshan5-nang5, 農民, k10, 汕頭話讀本
使油, sai2-iu5, 上漆, k10, 汕頭話讀本
使牛, sai2-gu5, 趕牛, k10, 汕頭話讀本
使用, sai2-eng7, 行賄, k10, 汕頭話讀本
來往, lai5-uang2, 分類賬, k20, 汕頭話讀本
來銀, lai5-ngurn5, 收賬, k10, 汕頭話讀本
依原, i1-nguan5, 依舊, k10, 汕頭話讀本
侯栗, kau6-lak8, 板栗, k00, 汕頭話讀本
侯蠅屎痣, hou5-sin5-sai2-ki3, 蒼蠅屎痣, k10, 汕頭話讀本
便宜, pan5-gi5, 便宜, k10, 汕頭話讀本
俗語, sok8-gur2, 俗語, k10, 汕頭話讀本
保佑, po2-iu6, 保佑, k10, 汕頭話讀本
保家, po2-ke1, 保險, k20, 汕頭話讀本
保家字, po2-ke1-ji7, 保險單, k20, 汕頭話讀本
