㽱痛, ka2-thiann3, 絞痛, k00, 考釋
㾪, san2, 瘦, k00, 考釋
㾪骨落肉, san2-kut4-lak8-nek8, 瘦骨嶙峋, k00, 考釋
䘼, ng2, 袖子, k00, 考釋
䛩|詏, a3, 爭辯, k00, 考釋
䭕, chiann2, (味)淡, k00, 考釋
䶕牙, ba3-ge5, 齙牙, k10, 考釋
丈人, tienn6-nang5, 岳父, k00, 考釋
丈夫, ta1-pou1, 男人, k00, 考釋
丈夫囝, ta1-pou1-kiann2, 男孩, k00, 考釋
丈母, tienn6-m2, 岳母, k00, 考釋
丈母婆, tienn6-m2-phua5, 丈母娘, k00, 考釋
下頦, e6-hai5, 下巴, k00, 考釋
世情, si3-chheng5, 通情達理, k00, 考釋
乏, hek8, 疲勞, k00, 考釋
乞, khurh4, 給, k00, 考釋
乞食, khurt4-chiah8, 乞丐, k00, 考釋
交椅, kau1-inn2, 靠背椅, k00, 考釋
人客|儂客, nang5-kheh4, 客人, k00, 考釋
伙頭|火頭, hue2-thau5, 廚師, k10, 考釋
佝腰|痀腰, ku1-ie1, 佝僂, k00, 考釋
使錢, sai2-chinn5, 花錢, k00, 考釋
倒誻, to3-tah8, 囉嗦, k00, 考釋
偏枯|㾫枯, phian1-kou1, 半身不遂, k00, 考釋
做七, tso3-chhit4, 燒七, k00, 考釋
做生日, tso3-senn1-jit8, 過生日, k00, 考釋
做節, tso3-tsoih4, 過節, k00, 考釋
做腳手, tso3-kha1-chhiu2, 動手腳, k00, 考釋
健, kiann7, 健壯, k00, 考釋
偪側, pek4-chhek4, 易怒, k00, 考釋
儂事|人事, nang5-sur7, 人情世故, k00, 考釋
儂情|人情, nang5-chheng5, 面子, k00, 考釋
儂情|人情, nang5-chhiann5, 恩情, k00, 考釋
內, lai6, 家, k00, 考釋
冤家|寃家, uan1-ke1, 吵鬧, k00, 考釋
冤屈, uang1-khuk4, 冤枉, k00, 考釋
刁厥, tiau1-khiak4, 刁潑, k00, 考釋
刁蹬, tiau1-tun3, 刁難, k10, 考釋
別|識, pat4, 認識, k00, 考釋
剁脞|剁莝, tok4-tsho7, 剁碎, k00, 考釋
力|勤, lat8, 勤勞, k00, 考釋
動角, tong6-kak4, 手杖, k10, 考釋
匏桸|瓠𣟵(U+237F5), pu5-hia1, 水瓢, k10, 考釋
卵脬, lan7-pha1, 陰囊, k00, 考釋
口㼦, khou2-kong2, 漱口杯, k10, 考釋
同門, tang5-mng5, 連襟, k00, 考釋
名色, miann1-sek4, 名譽, k00, 考釋
名頭, miann1-thau5, 名聲, k00, 考釋
咄, tuah4, 叱責, k00, 考釋
咖喱|膠離, ka1-li5, 咖喱, k00, 考釋
哺, pou7, 咀嚼, k00, 考釋
啉, lim1, 飲(酒), k10, 考釋
單丁, tuann1-teng1, 獨生子, k00, 考釋
嘔噦, au2-ueh4, 嘔吐, k00, 考釋
嚷|讓, jiang2, 叫喊, k00, 考釋
囝, kiann2, 子女, k00, 考釋
垃圾相, nah4-sap4-sienn3, 不乾不淨, k00, 考釋
垢圿, kau2-koih4, 污垢, k00, 考釋
外家, gua7-ke1, 娘家, k00, 考釋
大官, ta1-kuann1, 公公, k00, 考釋
